id,company_name,company_master_id,recruitment_year,deadline_type,label,deadline_date,deadline_time,source,source_url,verified,contributor_count,memo
5f380828-4456-4ecf-b750-3bc1afbed1e5,富士通,087e91cf-65b3-45b8-ae07-4f60646c9204,2028,event,Step To Engineer 応募締切（28/29卒向け）,2026-02-15,23:59,manual,https://fujitsu.recruiting.jp.fujitsu.com/event/,true,0,2daysオンライン仕事体験。3/17-18開催。SE体験ワークショップ+座談会。抽選120名。
f2dad75a-c8a0-4eb2-b87f-ec0ec554c784,AWS（Amazon）,27e75b4a-2da5-444b-9c9c-29a38b8dcd1a,2028,event,AWS営業職インターン 説明会,2026-02-17,17:00,manual,https://amazon.jobs/jp/jobs/3162014/2028-aws,true,0,オンライン(Webex) 17:00-18:00。
e5d4af4b-57f1-49b2-b9ac-0f4256419f1a,エムスリー,3cf9bc6a-f791-4beb-9a69-fab1383c1acf,2028,event,ビジネス職 選考説明会(1),2026-02-17,19:00,manual,https://open.talentio.com/r/1/c/m3/pages/118806,true,0,オンライン(Zoom) 19:00-20:30。先着100名。SPI受検枠確約。インターン直結。
37a9d650-e159-44d8-b61e-a5cc8ddf7827,リヴァンプ,36f4105d-af41-40af-8c55-8cbbb2733cdf,2028,event,ロジカルシンキング講座 締切,2026-02-17,23:59,manual,https://gaishishukatsu.com/recruiting_info/view/13747,true,0,オンライン。早期選考直結。1Dayインターン特別案内あり。
3756b306-3719-4452-8efa-9eb5d5527b10,富士通,087e91cf-65b3-45b8-ae07-4f60646c9204,2028,event,プレエントリー締切,2026-02-18,23:00,manual,https://www.recme.jp/event/detail/30913/,true,0,recme経由。プレエントリー。
33af2a7e-a5b2-46d5-825a-72a4ddbebae0,リンクアンドモチベーション,6cdd76a8-8df9-4387-a95c-48378501180c,2028,event,サマーインターン説明選考会 申込締切(1),2026-02-18,23:59,manual,https://app.en-courage.com/events/01KBQ7SSH99YMKSQZMW47CH12S,true,0,オンライン。会社説明+GD体感+適性検査。早期選考直結。
35398e29-1341-46d5-8233-c90080b6fb9a,AWS（Amazon）,27e75b4a-2da5-444b-9c9c-29a38b8dcd1a,2028,es_submission,AWS営業職長期インターン 応募締切,2026-02-23,23:59,manual,https://amazon.jobs/jp/jobs/3162014/2028-aws,true,0,8週間有給インターン(8/3-9/30)。採用直結型。東京品川(目黒駅)。
6ce6401c-5bbb-426c-9bf3-8b98936205b9,リンクアンドモチベーション,6cdd76a8-8df9-4387-a95c-48378501180c,2028,event,サマーインターン説明選考会 申込締切(2),2026-02-24,23:59,manual,https://app.en-courage.com/events/01KBQ7SSH99YMKSQZMW47CH12S,true,0,3種のインターン: UNiTE(2日/6-8月)&#44; RiSE(5日/ハウステンボス)&#44; SPiRAL(2日/9-2月)。
1f952e98-18f1-42bf-964c-9d1546aa0f2d,NTTドコモ,6680b284-5839-4292-a041-1fe26512b1ca,2028,es_submission,ファンマーケティングインターン ES締切,2026-02-24,12:00,manual,https://information.nttdocomo-fresh.jp/fresh/internship/fanmarketing-internship/,true,0,アルビレックス新潟xドコモ関信越支社。約3ヶ月間(4/7-6/30)。定員6名。関東甲信越圏の大学限定。
873420e2-49d9-43d5-81bb-5003c049d9ad,サイバーエージェント,96fb529c-86c8-4d40-8a48-f52dba43c9ff,2028,es_submission,BREAKERS選抜 ES 1次締切,2026-02-27,12:00,manual,https://www.cyberagent.co.jp/careers/students/event/detail/id=32878,true,0,超早期内定直結型インターン。ビジネスコース(28卒)。合否連絡3/6まで。
bcf89e88-b34f-49ec-89a2-8d9f92086cb7,AWS（Amazon）,27e75b4a-2da5-444b-9c9c-29a38b8dcd1a,2028,webtest,Online Assessment,2026-02-28,,manual,https://amazon.jobs/jp/jobs/3162014/2028-aws,true,0,2月下旬実施。
d192317f-5acc-4c2c-a54d-0b228248374f,SEVENRICH GROUP,69ebff8e-3763-4b46-8699-e9e08859fddc,2028,es_submission,3Days Internship エントリー締切,2026-02-28,23:59,manual,https://herp.careers/careers/companies/sevenrich7/jobs/_49ehlm-cWq0#job-overview,true,0,事業家候補特別選抜。定員各回15名。早期終了の可能性あり。参加日当1万円支給。
d0cd5a40-5e87-4e67-8cc0-07eb934897ec,レバレジーズ,2d7631ea-4d7e-483d-92d3-f1f8feb5fa2e,2028,es_submission,サマーインターン エントリー締切,2026-02-28,23:59,manual,https://leverages-internship.goodfind.jp/,true,0,"面接複数回→インターン参加。事業企画+実行力。メンター2名体制。渋谷スクランブルスクエア。交通費・宿泊費支給。"
